year;month;Civ. Labor Force;Employment;CPI;CPI - Urban / clerks;Price
2011;1;153263;139250;220223;216400;165,4
2011;2;153214;139394;221309;217535;161,5
2011;3;153376;139639;223467;220024;161,2
2011;4;153543;139586;224906;221743;163,2
2011;5;153479;139624;225964;222954;172,3
2011;6;153346;139384;225722;222522;184,0
2011;7;153288;139524;225922;222686;183,9
2011;8;153760;139942;226545;223326;178,3
2011;9;154131;140183;226889;223688;174,6
2011;10;153961;140368;226421;223043;177,9
2011;11;154128;140826;226230;222813;176,7
2011;12;153995;140902;225672;222166;179,5
2012;1;154381;141584;226665;223216;179,9
2012;2;154671;141858;227663;224317;180,5
2012;3;154749;142036;229392;226304;178,7
2012;4;154545;141899;230085;227012;180,0
2012;5;154866;142206;229815;226600;181,1
2012;6;155083;142391;229478;226036;199,8
2012;7;154948;142292;229104;225568;193,4
2012;8;154763;142291;230379;227056;182,7
2012;9;155160;143044;231407;228184;179,8
2012;10;155554;143431;231317;227974;183,4
2012;11;155338;143333;230221;226595;181,8
2012;12;155628;143330;229601;225889;194,2
2013;1;155763;143292;230280;226520;187,0
2013;2;155312;143362;232166;228677;184,7
2013;3;155005;143316;232773;229323;181,7
2013;4;155394;143635;232531;228949;182,2
2013;5;155536;143882;232945;229399;185,8
2013;6;155749;143999;233504;230002;205,6
2013;7;155599;144264;233596;230084;197,5
2013;8;155605;144326;233877;230359;181,8
2013;9;155687;144418;234149;230537;181,8
2013;10;154673;143537;233546;229735;189,6
2013;11;155265;144479;233069;229133;196,1
2013;12;155182;144778;233049;229174;210,1
