City_departure;Year;Month;DOMESTIC;INTERNATIONAL;TOTAL
Atlanta;2007;1;2744136;332738;3076874
Atlanta;2007;2;2642977;302883;2945860
Atlanta;2007;3;3347887;393886;3741773
Atlanta;2007;4;3222845;34874;3571585
Atlanta;2007;5;3318869;387551;3706420
Atlanta;2007;6;3540330;448919;3989249
Atlanta;2007;7;3654986;4453;4100286
Atlanta;2007;8;3556705;406354;3963059
Atlanta;2007;9;2982422;337298;3319720
Atlanta;2007;10;3388161;328899;3717060
Atlanta;2007;11;3176190;325828;3502018
Atlanta;2007;12;3065447;391207;3456654
Atlanta;2008;1;2823518;348168;3171686
Atlanta;2008;2;2905143;327618;3232761
Atlanta;2008;3;3417624;413811;3831435
Atlanta;2008;4;3200599;359957;3560556
Atlanta;2008;5;3310316;413302;3723618
Atlanta;2008;6;3477802;461649;3939451
Atlanta;2008;7;3652009;457327;4109336
Atlanta;2008;8;3488127;41654;3904667
Atlanta;2008;9;3047701;334747;3382448
Atlanta;2008;10;3416195;331617;3747812
Atlanta;2008;11;3108720;322909;3431629
Atlanta;2008;12;3173033;397081;3570114
Atlanta;2009;1;2849037;347113;3196150
Atlanta;2009;2;2658524;291116;2949640
Atlanta;2009;3;3136635;359607;3496242
Atlanta;2009;4;3129794;35683;3486624
Atlanta;2009;5;3256465;375942;3632407
Atlanta;2009;6;3402029;449441;3851470
Atlanta;2009;7;3628640;447159;4075799
Atlanta;2009;8;3435608;392296;3827904
Atlanta;2009;9;3019930;317696;3337626
Atlanta;2009;10;3305251;316132;3621383
Atlanta;2009;11;3023808;293761;3317569
Atlanta;2009;12;2958864;378435;3337299
Atlanta;2010;1;2726070;329387;3055457
Atlanta;2010;2;2544751;302127;2846878
Atlanta;2010;3;3293758;38365;3677408
Atlanta;2010;4;3262533;347834;3610367
Atlanta;2010;5;3369274;403809;3773083
Atlanta;2010;6;3465091;455581;3920672
Atlanta;2010;7;3574034;478252;4052286
Atlanta;2010;8;3415000;418141;3833141
Atlanta;2010;9;3140173;345263;3485436
Atlanta;2010;10;3433171;346869;3780040
Atlanta;2010;11;3179016;319788;3498804
Atlanta;2010;12;3072786;37819;3450976
Atlanta;2011;1;2678294;341254;3019548
Atlanta;2011;2;2666018;317256;2983274
Atlanta;2011;3;3376371;401791;3778162
Atlanta;2011;4;3278439;384886;3663325
Atlanta;2011;5;3604729;417353;4022082
Atlanta;2011;6;3583364;474024;4057388
Atlanta;2011;7;3741126;496576;4237702
Atlanta;2011;8;3548785;43634;3985125
Atlanta;2011;9;3233004;349084;3582088
Atlanta;2011;10;3511352;346141;3857493
Atlanta;2011;11;3272304;322587;3594891
Atlanta;2011;12;3080001;388303;3468304
Atlanta;2012;1;2886710;347053;3233763
Atlanta;2012;2;2888471;324299;3212770
Atlanta;2012;3;3550261;40422;3954481
Atlanta;2012;4;3446162;379454;3825616
Atlanta;2012;5;3642807;434382;4077189
Atlanta;2012;6;3729923;473061;4202984
