Date,New York,Dallas,Denver,Detroit,Houston
2010-01-03,60,10,13,23,19
2010-01-10,61,11,10,10,15
2010-01-17,52,10,9,9,13
2010-01-24,51,5,7,9,12
2010-01-31,44,9,12,8,11
2010-02-07,55,22,9,12,16
2010-02-14,44,7,9,7,11
2010-02-21,60,10,12,12,13
2010-02-28,43,11,12,8,13
2010-03-07,57,12,9,9,14
2010-03-14,50,12,16,7,9
2010-03-21,49,14,19,6,10
2010-03-28,48,10,12,5,9
2010-04-04,46,11,16,8,10
2010-04-11,52,8,11,8,12
2010-04-18,67,8,8,9,10
2010-04-25,45,12,9,8,8
2010-05-02,42,8,6,9,11
2010-05-09,56,14,8,6,15
2010-05-16,48,6,8,10,16
2010-05-23,44,10,9,7,12
2010-05-30,48,8,12,9,12
2010-06-06,51,13,10,10,10
2010-06-13,47,13,10,9,12
2010-06-20,45,5,10,7,13
2010-06-27,52,10,10,11,15
2010-07-04,47,13,14,10,16
2010-07-11,49,12,13,11,15
2010-07-18,48,11,13,12,11
2010-07-25,55,12,11,6,16
2010-08-01,51,14,15,7,10
2010-08-08,62,17,12,11,15
2010-08-15,61,11,11,6,7
2010-08-22,49,14,13,5,15
2010-08-29,50,12,12,8,11
2010-09-05,47,12,9,6,13
2010-09-12,52,10,6,8,14
2010-09-19,46,14,13,5,9
2010-09-26,46,11,8,11,8
2010-10-03,43,7,7,6,12
2010-10-10,53,13,8,7,13
2010-10-17,45,10,9,8,15
2010-10-24,39,15,11,8,13
2010-10-31,46,11,11,5,11
2010-11-07,43,8,11,6,11
2010-11-14,46,11,9,8,12
2010-11-21,47,9,8,9,10
2010-11-28,47,11,11,5,16
2010-12-05,50,11,8,6,15
2010-12-12,44,10,9,14,14
2010-12-19,49,9,15,11,16
2010-12-26,100,19,20,15,20
2011-01-02,59,13,12,9,17
2011-01-09,68,18,19,12,18
2011-01-16,54,10,10,7,17
2011-01-23,59,13,10,10,13
2011-01-30,63,24,16,13,25
2011-02-06,50,14,14,8,17
2011-02-13,56,12,8,8,13
2011-02-20,53,12,10,11,15
2011-02-27,51,12,13,9,15
2011-03-06,49,14,12,10,16
2011-03-13,47,10,10,8,10
2011-03-20,49,11,12,11,15
2011-03-27,47,13,9,10,13
2011-04-03,45,14,12,8,15
2011-04-10,52,10,5,8,13
2011-04-17,49,13,9,11,12
2011-04-24,56,13,14,9,13
2011-05-01,49,13,13,7,15
2011-05-08,54,16,13,9,22
2011-05-15,57,18,14,9,15
2011-05-22,59,25,14,11,16
2011-05-29,57,11,14,10,16
2011-06-05,61,17,9,7,19
2011-06-12,52,18,15,10,16
2011-06-19,59,14,18,8,20
2011-06-26,57,15,12,8,16
2011-07-03,55,14,13,7,16
2011-07-10,55,14,15,7,17
2011-07-17,55,14,14,10,18
2011-07-24,63,19,11,10,19
2011-07-31,53,13,13,9,14
2011-08-07,56,13,12,8,13
2011-08-14,55,13,12,6,18
2011-08-21,73,13,15,8,16
2011-08-28,60,10,13,8,12
2011-09-04,52,15,11,6,14
2011-09-11,60,12,15,13,13
2011-09-18,54,11,11,9,16
2011-09-25,52,10,11,7,15
2011-10-02,48,9,13,7,12
2011-10-09,50,14,14,10,15
2011-10-16,48,15,11,7,12
2011-10-23,51,12,11,6,11
2011-10-30,42,11,12,6,12
2011-11-06,34,12,12,6,13
2011-11-13,49,13,9,8,12
2011-11-20,43,10,13,5,7
2011-11-27,50,13,11,7,12
2011-12-04,43,15,10,6,13
2011-12-11,49,12,11,6,14
2011-12-18,54,13,23,6,14
2011-12-25,59,13,15,9,14
2012-01-01,64,13,15,10,15
2012-01-08,55,14,14,11,14
2012-01-15,58,14,11,7,18
2012-01-22,51,12,10,8,15
2012-01-29,47,13,19,6,18
2012-02-05,49,10,13,10,14
2012-02-12,49,12,13,6,30
2012-02-19,57,13,12,9,25
2012-02-26,51,14,13,10,22
2012-03-04,56,20,12,9,22
2012-03-11,49,15,14,9,17
2012-03-18,58,16,12,8,20
2012-03-25,51,12,13,7,17
2012-04-01,49,18,12,6,20
2012-04-08,49,14,9,8,16
2012-04-15,58,16,13,9,15
2012-04-22,56,12,11,8,14
2012-04-29,59,13,11,10,16
2012-05-06,58,15,17,7,15
2012-05-13,49,12,11,8,15
2012-05-20,53,15,13,8,14
2012-05-27,53,15,13,8,17
2012-06-03,56,17,15,8,17
2012-06-10,54,16,16,11,18
2012-06-17,54,15,14,9,21
2012-06-24,52,18,15,7,17
2012-07-01,53,18,10,9,14
2012-07-08,60,17,15,11,24
2012-07-15,64,14,15,7,16
2012-07-22,66,17,16,12,18
2012-07-29,65,16,18,9,17
2012-08-05,63,16,13,12,18
2012-08-12,70,19,14,12,18
2012-08-19,62,15,16,8,13
2012-08-26,63,14,13,7,16
2012-09-02,53,13,12,7,13
2012-09-09,52,18,15,8,14
2012-09-16,52,16,14,6,17
2012-09-23,52,15,11,8,17
2012-09-30,47,16,11,10,15
2012-10-07,51,14,13,9,18
2012-10-14,49,14,13,8,17
2012-10-21,50,14,11,11,17
2012-10-28,81,20,15,12,20
2012-11-04,59,15,16,7,15
2012-11-11,44,13,14,6,17
2012-11-18,49,14,10,8,13
2012-11-25,48,12,9,6,14
2012-12-02,45,16,10,9,17
2012-12-09,43,16,14,7,17
2012-12-16,51,15,19,11,15
2012-12-23,63,24,23,12,16
2012-12-30,73,21,18,11,21
2013-01-06,64,18,17,8,17
2013-01-13,59,15,14,8,16
2013-01-20,58,17,12,9,18
2013-01-27,50,16,12,9,18
2013-02-03,71,15,12,10,20
2013-02-10,56,15,14,10,16
2013-02-17,49,17,17,11,21
2013-02-24,59,16,25,10,17
2013-03-03,59,18,23,11,19
2013-03-10,54,17,13,8,19
2013-03-17,55,19,21,8,21
2013-03-24,55,18,15,10,18
2013-03-31,47,14,11,10,25
2013-04-07,56,15,18,8,21
2013-04-14,53,20,19,11,31
2013-04-21,56,15,16,9,16
2013-04-28,54,15,16,7,19
2013-05-05,52,15,11,10,18
2013-05-12,56,15,16,11,23
2013-05-19,58,22,15,13,18
2013-05-26,53,20,18,10,17
2013-06-02,57,16,14,9,24
2013-06-09,59,22,19,8,17
2013-06-16,55,22,17,12,22
2013-06-23,58,19,20,10,18
2013-06-30,67,16,14,8,20
2013-07-07,66,22,16,14,22
2013-07-14,65,21,19,10,16
2013-07-21,64,21,18,13,19
2013-07-28,70,19,21,13,17
2013-08-04,59,19,15,11,19
2013-08-11,68,23,18,12,22
2013-08-18,57,16,17,10,36
2013-08-25,54,17,15,10,20
2013-09-01,56,13,13,9,19
2013-09-08,60,14,18,11,17
2013-09-15,55,15,15,7,19
2013-09-22,54,19,12,7,19
2013-09-29,60,15,15,9,16
2013-10-06,54,14,12,10,14
2013-10-13,50,18,12,10,15
2013-10-20,48,16,16,9,15
2013-10-27,52,14,13,7,18
2013-11-03,51,18,16,8,15
2013-11-10,56,17,14,9,17
2013-11-17,53,19,16,12,17
2013-11-24,60,18,15,9,15
2013-12-01,51,35,21,11,16
2013-12-08,57,30,17,10,17
2013-12-15,58,16,16,12,18
2013-12-22,63,21,19,15,20
2013-12-29,92,21,27,15,22
