Date,New York,Las Vegas,Los Angeles,Miami,Minneapolis
2010-01-03,60,39,21,26,8
2010-01-10,61,35,17,27,3
2010-01-17,52,30,20,20,4
2010-01-24,51,28,18,14,6
2010-01-31,44,27,21,20,4
2010-02-07,55,33,15,22,10
2010-02-14,44,27,16,21,3
2010-02-21,60,30,14,17,3
2010-02-28,43,29,21,19,6
2010-03-07,57,35,19,20,5
2010-03-14,50,34,18,25,4
2010-03-21,49,23,13,22,4
2010-03-28,48,25,15,23,4
2010-04-04,46,22,18,20,3
2010-04-11,52,27,23,19,4
2010-04-18,67,28,19,23,5
2010-04-25,45,28,15,16,6
2010-05-02,42,27,19,16,4
2010-05-09,56,25,21,17,4
2010-05-16,48,26,16,21,5
2010-05-23,44,24,16,16,4
2010-05-30,48,29,22,16,3
2010-06-06,51,27,24,13,4
2010-06-13,47,27,20,20,5
2010-06-20,45,27,20,14,4
2010-06-27,52,27,17,18,4
2010-07-04,47,30,18,23,4
2010-07-11,49,30,21,20,5
2010-07-18,48,32,21,21,6
2010-07-25,55,26,23,16,6
2010-08-01,51,28,28,20,4
2010-08-08,62,28,21,19,7
2010-08-15,61,26,20,19,5
2010-08-22,49,26,18,17,4
2010-08-29,50,24,16,16,4
2010-09-05,47,27,14,14,4
2010-09-12,52,29,16,18,3
2010-09-19,46,23,19,13,2
2010-09-26,46,19,18,18,4
2010-10-03,43,29,18,14,4
2010-10-10,53,23,18,16,5
2010-10-17,45,29,14,17,3
2010-10-24,39,22,15,19,5
2010-10-31,46,17,15,20,3
2010-11-07,43,20,18,20,4
2010-11-14,46,19,16,20,5
2010-11-21,47,20,18,18,4
2010-11-28,47,19,15,18,4
2010-12-05,50,15,18,22,5
2010-12-12,44,22,18,20,7
2010-12-19,49,21,20,22,8
2010-12-26,100,23,24,33,10
2011-01-02,59,34,23,31,5
2011-01-09,68,36,23,24,5
2011-01-16,54,27,21,22,6
2011-01-23,59,30,17,27,4
2011-01-30,63,36,19,20,6
2011-02-06,50,32,21,22,5
2011-02-13,56,29,17,19,5
2011-02-20,53,28,15,25,8
2011-02-27,51,26,19,26,4
2011-03-06,49,30,17,21,5
2011-03-13,47,23,17,19,4
2011-03-20,49,25,21,31,6
2011-03-27,47,28,14,26,5
2011-04-03,45,25,17,21,4
2011-04-10,52,27,20,20,5
2011-04-17,49,21,21,20,5
2011-04-24,56,28,16,21,5
2011-05-01,49,27,21,19,2
2011-05-08,54,25,19,25,3
2011-05-15,57,25,21,24,5
2011-05-22,59,29,19,23,5
2011-05-29,57,24,21,20,8
2011-06-05,61,22,22,22,5
2011-06-12,52,29,20,26,6
2011-06-19,59,28,24,18,6
2011-06-26,57,26,28,19,5
2011-07-03,55,29,22,26,4
2011-07-10,55,31,24,23,7
2011-07-17,55,30,22,25,3
2011-07-24,63,26,21,20,4
2011-07-31,53,30,23,23,4
2011-08-07,56,29,23,22,7
2011-08-14,55,27,18,22,5
2011-08-21,73,27,21,25,6
2011-08-28,60,23,18,20,5
2011-09-04,52,27,16,22,3
2011-09-11,60,25,22,19,7
2011-09-18,54,27,18,18,4
2011-09-25,52,21,22,20,4
2011-10-02,48,21,15,15,5
2011-10-09,50,24,11,16,5
2011-10-16,48,24,19,20,5
2011-10-23,51,18,14,21,3
2011-10-30,42,21,16,20,4
2011-11-06,34,26,18,21,5
2011-11-13,49,17,21,24,4
2011-11-20,43,21,15,18,4
2011-11-27,50,20,17,19,4
2011-12-04,43,19,16,19,4
2011-12-11,49,17,16,21,4
2011-12-18,54,20,20,21,6
2011-12-25,59,23,23,22,6
2012-01-01,64,33,21,23,6
2012-01-08,55,33,22,25,7
2012-01-15,58,30,18,25,5
2012-01-22,51,29,21,26,6
2012-01-29,47,33,19,23,6
2012-02-05,49,26,20,22,4
2012-02-12,49,23,20,25,4
2012-02-19,57,32,23,22,3
2012-02-26,51,29,16,22,7
2012-03-04,56,31,20,28,5
2012-03-11,49,30,21,29,6
2012-03-18,58,27,18,24,4
2012-03-25,51,26,20,23,3
2012-04-01,49,22,24,22,5
2012-04-08,49,23,20,21,5
2012-04-15,58,27,20,20,4
