Date,New York,Orlando,Philadelphia,Phoenix,San Francisco
2010-01-03,60,24,11,14,19
2010-01-10,61,16,4,18,14
2010-01-17,52,15,8,17,17
2010-01-24,51,18,7,17,11
2010-01-31,44,19,14,14,12
2010-02-07,55,23,18,13,18
2010-02-14,44,14,9,15,15
2010-02-21,60,19,14,15,13
2010-02-28,43,17,8,17,15
2010-03-07,57,15,7,20,18
2010-03-14,50,17,10,16,13
2010-03-21,49,14,5,18,11
2010-03-28,48,19,7,14,16
2010-04-04,46,10,9,13,14
2010-04-11,52,18,7,13,15
2010-04-18,67,21,7,17,15
2010-04-25,45,16,9,14,13
2010-05-02,42,15,4,16,11
2010-05-09,56,16,12,11,16
2010-05-16,48,16,6,14,17
2010-05-23,44,12,7,19,16
2010-05-30,48,14,7,16,19
2010-06-06,51,15,6,12,14
2010-06-13,47,17,10,12,20
2010-06-20,45,19,8,14,16
2010-06-27,52,16,11,14,13
2010-07-04,47,17,11,10,16
2010-07-11,49,20,10,13,15
2010-07-18,48,20,9,15,17
2010-07-25,55,17,9,13,20
2010-08-01,51,14,8,14,14
2010-08-08,62,16,9,18,19
2010-08-15,61,16,12,15,18
2010-08-22,49,18,9,15,18
2010-08-29,50,15,7,11,20
2010-09-05,47,10,5,19,15
2010-09-12,52,15,7,17,15
2010-09-19,46,15,4,12,17
2010-09-26,46,16,11,13,11
2010-10-03,43,16,7,14,16
2010-10-10,53,17,7,18,15
2010-10-17,45,16,6,14,17
2010-10-24,39,12,8,12,14
2010-10-31,46,16,7,13,14
2010-11-07,43,14,6,14,12
2010-11-14,46,13,7,20,14
2010-11-21,47,14,5,16,11
2010-11-28,47,10,6,16,11
2010-12-05,50,12,5,20,9
2010-12-12,44,13,10,17,17
2010-12-19,49,16,11,17,16
2010-12-26,100,22,32,22,14
2011-01-02,59,21,10,17,15
2011-01-09,68,23,15,16,18
2011-01-16,54,22,8,14,13
2011-01-23,59,16,13,15,17
2011-01-30,63,18,13,16,12
2011-02-06,50,17,9,17,16
2011-02-13,56,16,4,18,18
2011-02-20,53,19,9,15,12
2011-02-27,51,16,9,22,19
2011-03-06,49,16,9,20,16
2011-03-13,47,16,5,15,12
2011-03-20,49,19,6,15,15
2011-03-27,47,15,11,14,13
2011-04-03,45,17,6,18,15
2011-04-10,52,18,7,16,16
2011-04-17,49,14,8,11,16
2011-04-24,56,18,8,17,13
2011-05-01,49,18,6,19,18
2011-05-08,54,18,8,19,20
2011-05-15,57,17,8,44,14
2011-05-22,59,19,10,14,16
2011-05-29,57,16,8,16,23
2011-06-05,61,15,7,23,17
2011-06-12,52,19,11,15,20
2011-06-19,59,14,8,16,17
2011-06-26,57,17,8,25,19
2011-07-03,55,18,8,11,13
2011-07-10,55,15,9,16,20
2011-07-17,55,19,8,29,14
2011-07-24,63,23,11,16,20
2011-07-31,53,20,8,20,17
2011-08-07,56,19,8,20,18
2011-08-14,55,18,11,16,17
2011-08-21,73,17,15,19,15
2011-08-28,60,17,9,17,17
2011-09-04,52,15,8,18,14
2011-09-11,60,14,7,15,18
2011-09-18,54,17,8,14,13
2011-09-25,52,15,7,17,14
2011-10-02,48,17,10,25,16
2011-10-09,50,16,8,22,11
2011-10-16,48,15,6,15,19
2011-10-23,51,16,8,15,12
2011-10-30,42,14,8,18,13
2011-11-06,34,13,8,15,13
2011-11-13,49,14,7,18,13
2011-11-20,43,11,9,15,15
2011-11-27,50,16,7,12,13
2011-12-04,43,11,6,17,15
2011-12-11,49,13,7,17,15
2011-12-18,54,13,9,17,13
2011-12-25,59,17,8,19,17
2012-01-01,64,20,9,17,18
2012-01-08,55,19,8,18,18
